code,text,helperText,type,options,category,isActive
SHARING_BILLS_WHEN,When do you pay bills?,,single_choice ,"[""Pay immediately"",""Pay by due date"",""Pay when we get around to them""]",Sharing / Expenses,FALSE
SHARING_BILLS_WHO,How should we pay utilities?,,single_choice ,"[""Split costs evenly"",""Separate utility expenses (e.g. One pays for electricity, one pays for internet)""]",Sharing / Expenses,TRUE
SHARING_BELONGINGS,What are your thoughts on sharing and borrowing?,,single_choice ,"[""Let’s share everything, no need to ask"",""You can probably borrow my stuff, just ask first"",""I won’t say no in an emergency (I prefer to not share)"",""Sorry, I don’t ever lend my stuff to others""]",Sharing / Expenses,TRUE
SHARING_COMMON_USE_ITEMS,How should we share common-use items?,,single_choice ,"[""Take turns buying"",""Split costs evenly"",""Buy our own items separately""]",Sharing / Expenses,TRUE
SHARING_COMMON_FOOD_ITEMS,How should we share common food items?,,single_choice ,"[""Take turns buying"",""Split costs evenly"",""Buy our own items separately"",""Split costs for common meals, buy the rest separately""]",Sharing / Expenses,TRUE
CLEANLINESS_ME,How tidy do you keep shared spaces?,,single_choice ,"[""Could eat off the floor"",""Everything is tidy"",""Slightly messy"",""Where's the floor?""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_BATHROOM,What’s your bathroom like?,,single_choice ,"[""Spotlessly clean - daily tidy"",""Pretty good - weekly clean"",""Not bad - monthly clean"",""Not sure - no cleaning products""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_KITCHEN,What’s your kitchen like?,,single_choice ,"[""Always sparkling clean"",""Clean and mostly tidy"",""Good luck finding stuff"",""Salmonella’s best friend""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_DISHES,How do you handle dishes?,,single_choice ,"[""Washed, put away daily"",""Washed, dry overnight"",""Wash in morning after overnight soak"",""Wash only when everything else is dirty""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_ROTATION,How will we handle cleaning?,,single_choice ,"[""Rotate cleaning assignment"",""Permanent cleaning assignment"",""Decide when need for cleaning arises""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_FREQUENCY,How often will you do your share of cleaning?,,single_choice ,"[""Daily"",""Weekly"",""Bi-weekly"",""Once a month"",""When desired""]",Cleanliness / Upkeep,FALSE
LIFESTYLE_HOUSE_TYPE,Preferred Housing,,single_choice ,"[""House only"",""House or apartment only"",""Dorm is ok""]",Lifestyle,FALSE
LIFESTYLE_ROOM_SHARING,Room sharing,,single_choice ,"[""I am willing to share a room with bunk beds if it brings costs down"",""A shared room with enough space for 2 separate beds is ok"",""I will not share a room""]",Lifestyle,FALSE
LIFESTYLE_HOUSE_OCCUPANCY,Shared space,,single_choice ,"[""I'm fine if all main  rooms are used as bedrooms (Only the kitchen and bathroom are shared)"",""There needs to be at least one common living room"",""There needs to be at least a dining room and living room""]",Lifestyle,FALSE
LIFESTYLE_SMOKING_ME,Do you smoke?,,single_choice ,"[""Yes"",""Yes, but never in the house"",""No""]",Lifestyle,TRUE
LIFESTYLE_SMOKING_OTHERS,Does smoking bother you?,,single_choice ,"[""Yes"",""I don't mind if you smoke only outside of the house"",""No""]",Lifestyle,TRUE
LIFESTYLE_PETS_ME,Do you or will you have pets?,,single_choice ,"[""Dog"",""Cat"",""Other furry critter"",""Fur-less critter"",""None""]",Lifestyle,TRUE
LIFESTYLE_PETS_OTHERS,Do you mind pets?,,single_choice ,"[""All pets are fine"",""Dogs are fine"",""Cats are fine"",""Other furry critters are ok"",""Fur-less critters are ok"",""I don’t want pets around""]",Lifestyle,TRUE
BED_TIME_ME,When do you go to bed during the week?,,single_choice ,"[""Early: between 8pm – 11pm"",""Moderate: between 11pm – 1am"",""Late: between 1am – 4am"",""During daylight hours""]",Lifestyle,TRUE
LIFESTYLE_HOME PRESENCE_ME,How often will you be coming and going?,,single_choice ,"[""I’ll be home 24/7"",""Once or twice per day"",""Constantly""]",Lifestyle,FALSE
NOISE_LEVEL_OTHERS,When is noise acceptable?,,single_choice ,"[""Any time of day or night"",""During the day and evening, but not at night"",""During the daytime only please"",""I need the silence of a library""]",Noise Level / Quiet Hours,TRUE
NOISE_LEVEL_MUSIC_FREQUENCY_ME,How often do you have music on?,,single_choice ,"[""Always!"",""Often"",""Rarely"",""Never""]",Noise Level / Quiet Hours,TRUE
NOISE_LEVEL_MUSIC_VOLUME_ME,What’s the volume like?,,single_choice ,"[""Shakes the floor"",""Comfortable listening level"",""Quiet, background level"",""I use headphones""]",Noise Level / Quiet Hours,TRUE
NOISE_LEVEL_STUDY_TIME,Study habits?,,single_choice ,"[""Must be completely quiet"",""Some distractions are ok"",""Usually study elsewhere"",""Who needs to study?""]",Noise Level / Quiet Hours,TRUE
ROOMIES_EXPECTATIONS,What are you hoping for from me as a roommate?,,single_choice ,"[""Someone to split the bills and chores"",""Great if we are friends, but we don't have to"",""Someone friendly, but don’t have to be best friends"",""Someone who wants to hang out and do stuff with""]",Roomies,FALSE
ROOMIES_PARTNERS_ME,Will anyone else be living with us?,"If you picked ""Other"" and want to specify, use the final free text question.",single_choice ,"[""No"",""Yes, my partner"",""Yes, my family (w/kids)"",""Yes – Other""]",Roomies,FALSE
SOCIALIZING_GUESTS,What’s your guest policy?,,single_choice ,"[""The more the merrier! Guests all the time"",""Not a problem, just ask for a heads up"",""One or two guests are okay occasionally"",""On a rare occasion guests are fine"",""I prefer no guests coming over""]",Socializing,TRUE
SOCIALIZING_GUESTS_OVERNIGHT_OTHERS,How do you feel about guests spending the night?,,single_choice ,"[""Doesn’t bother me"",""Occasionally is fine, but not multiple nights"",""Guests staying over regularly is fine"",""I’m not comfortable with guests staying over""]",Socializing,TRUE
SOCIALIZING_GUESTS_OVERNIGHT_ME,Will any guests be staying over?,,single_choice ,"[""I have a guest who will stay over frequently (3+ x/week)"",""I have a guest who will stay over occasionally (<3x)"",""Rarely (once to twice a month)"",""I do not anticipate any guests staying over""]",Socializing,TRUE
SOCIALIZING_PARTYING,How do you feel about parties?,,single_choice ,"[""Love them, I’d host every week if I could!"",""They’re fine, just provide notice ahead of time"",""An occasional dinner/small gathering is fine"",""I don’t want to have any parties at my home""]",Socializing,TRUE
FOOD_ALLERGIES_ME,Do you have any food allergies?,"If you picked Yes and want to specify, use the final free text question.",single_choice ,"[""No"",""Yes*""]",Food / Eating / Cooking,TRUE
FOOD_PREFERENCES_ME,Anything about food your roommates should know?,"If you picked ""Other"" and want to specify, use the final free text question.",single_choice ,"[""I’m vegetarian/vegan but meat can be in the house"",""I’m vegetarian/vegan and meat can’t be in the house"",""I’m Kosher"",""I’m Halal"",""Other""]",Food / Eating / Cooking,TRUE
FOOD_COOKING_ME,How often do you cook?,,single_choice ,"[""All three meals, most days"",""Usually dinners"",""One or two big meals a week"",""Pretty much never""]",Food / Eating / Cooking,TRUE
FOOD_ALCOHOL_ME,How do you feel about alcohol?,,single_choice ,"[""I’m game for drinks during the week"",""I save it for the weekends"",""I drink a few times a month"",""I don’t drink, but I don’t mind if you do"",""I don’t drink, and I’d like an alcohol-free home""]",Food / Eating / Cooking,TRUE
ADDITIONAL_INFO,Anything else your room mates should know?,"Anything you think your future room mate(s) should know, related to the previous questions or not.",free_text,,Additional Info,TRUE
